solver,benchmark,run,score,time,step,iteration
GreedySatSolver,1,1,2121,33809.8,9516,139
GreedySatSolver,1,2,2126,30328.6,9730,140
DeepSatSolver,1,1,2124,70424.3,456,5
DeepSatSolver,1,2,2125,70348,536,6
CudaGreedyDeepSatSolver,1,1,2135,72172.1,22605,255
CudaGreedyDeepSatSolver,1,2,2139,149661,22959,262
GreedySatSolver,1,3,2129,60558,9697,143
GreedySatSolver,1,4,2118,33567.6,8880,131
GreedySatSolver,1,5,2130,67056.1,9695,141
GreedySatSolver,1,6,2123,105767,9508,138
GreedySatSolver,1,7,2127,78720.5,9235,137
GreedySatSolver,1,8,2124,48073.4,9475,140
GreedySatSolver,1,9,2119,45081.1,9727,144
GreedySatSolver,1,10,2126,72279.6,9702,142
DeepSatSolver,1,3,2125,99700.5,525,6
DeepSatSolver,1,4,2123,150313,603,7
DeepSatSolver,1,5,2114,83311.4,635,8
DeepSatSolver,1,6,2128,14926.8,554,7
DeepSatSolver,1,7,2119,122854,586,7
DeepSatSolver,1,8,2125,142369,521,6
DeepSatSolver,1,9,2124,145047,676,8
DeepSatSolver,1,10,2129,57680,523,6
CudaGreedyDeepSatSolver,1,3,2136,16022.5,21855,252
CudaGreedyDeepSatSolver,1,4,2138,131392,21260,244
CudaGreedyDeepSatSolver,1,5,2139,7882.67,20953,241
CudaGreedyDeepSatSolver,1,6,2131,65757,19915,226
CudaGreedyDeepSatSolver,1,7,2132,109125,19696,225
CudaGreedyDeepSatSolver,1,8,2138,109339,19259,220
CudaGreedyDeepSatSolver,1,9,2136,116694,19868,227
CudaGreedyDeepSatSolver,1,10,2140,137671,20332,231
